Starting gRPC export scanner (v2) for 'Chuyện Công Chúa'...
Log will be saved to '/home/ws/grpc_exports.log'
[+] Found libgrpc_csharp_ext.so at: 0x6b64294000
[*] Found 8755 exports. Sending them one by one...
    - function: _ZN9grpc_core17HealthCheckClient9CallState24RecvInitialMetadataReadyEPvP10grpc_error (Address: 0x6b64469948)
    - function: _ZN39grpc_google_default_channel_credentials25create_security_connectorEN9grpc_core13RefCountedPtrI21grpc_call_credentialsEEPKcPK17grpc_channel_argsPPS6_ (Address: 0x6b6453a678)
    - function: _ZNSt6__ndk13mapINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEN9grpc_core6XdsApi15RdsResourceDataENS_4lessIS6_EENS4_INS_4pairIKS6_S9_EEEEEixERSD_ (Address: 0x6b644ff4e8)
    - function: _ZNK9grpc_core12XdsBootstrap8ToStringEv (Address: 0x6b6450427c)
    - function: _ZNKSt6__ndk112basic_stringIwNS_11char_traitsIwEENS_9allocatorIwEEE7compareEmmPKw (Address: 0x6b64739fd4)
    - function: _ZNSt6__ndk16__treeINS_12__value_typeINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS_6vectorIS7_NS5_IS7_EEEEEENS_19__map_value_compareIS7_SB_NS_4lessIS7_EELb1EEENS5_ISB_EEE7destroyEPNS_11__tree_nodeISB_PvEE (Address: 0x6b644b9aa4)
    - function: __cxa_allocate_dependent_exception (Address: 0x6b64741280)
    - variable: _ZTIN9grpc_core14DualRefCountedINS_10SubchannelEEE (Address: 0x6b648f3260)
    - function: _ZNKSt6__ndk110moneypunctIcLb0EE13do_neg_formatEv (Address: 0x6b64710df4)
    - variable: grpc_stream_compression_gzip_vtable (Address: 0x6b648f9ae8)
    - variable: _ZTCNSt6__ndk114basic_iostreamIcNS_11char_traitsIcEEEE16_NS_13basic_ostreamIcS2_EE (Address: 0x6b64912c70)
    - function: _ZNKSt6__ndk120__codecvt_utf8_utf16IwE13do_max_lengthEv (Address: 0x6b6472a6e4)
    - function: _ZN4absl12lts_202103249StrAppendEPNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS0_8AlphaNumESB_SB_ (Address: 0x6b645eab68)
    - function: _ZN9grpc_core18ChildPolicyHandler14ShutdownLockedEv (Address: 0x6b643fb478)
    - variable: __cxa_terminate_handler (Address: 0x6b64922b00)
    - function: upb_map_size (Address: 0x6b645c11c4)
    - variable: envoy_config_endpoint_v3_ClusterLoadAssignment_NamedEndpointsEntry_msginit (Address: 0x6b648fbe38)
    - function: _Z48tsi_ssl_extract_x509_subject_names_from_pem_certPKcP8tsi_peer (Address: 0x6b644618d4)
    - function: _Z21grpc_call_context_setP9grpc_call18grpc_context_indexPvPFvS2_E (Address: 0x6b64441120)
    - function: _ZN9grpc_core20GlobalSubchannelPool20UnregisterSubchannelERKNS_13SubchannelKeyEPNS_10SubchannelE (Address: 0x6b643fa308)
    - function: _Z25alts_destroy_frame_readerP17alts_frame_reader (Address: 0x6b64578380)
    - function: _ZN4absl12lts_20210324lsERNSt6__ndk113basic_ostreamIcNS1_11char_traitsIcEEEENS0_10StatusCodeE (Address: 0x6b645c1d0c)
    - function: _ZN3re26Regexp4SwapEPS0_ (Address: 0x6b6458fb20)
    - function: _ZN9grpc_core17StaticMetadataCtxC2Ev (Address: 0x6b6445a7fc)
    - function: _ZN3re214SimplifyWalkerD0Ev (Address: 0x6b645af738)
    - function: _tr_align (Address: 0x6b64584bf4)
    - function: _ZN4absl12lts_2021032413time_internal4cctz13utc_time_zoneEv (Address: 0x6b645f70b0)
    - function: _ZN9grpc_core9XdsClient13EndpointStateD2Ev (Address: 0x6b6451bcec)
    - function: _ZN4absl12lts_2021032416strings_internal11BigUnsignedILi84EE10MultiplyByEm (Address: 0x6b645ef150)
    - function: _Z31grpc_httpcli_format_get_requestPK20grpc_httpcli_request (Address: 0x6b64527d18)
    - function: _Z23alts_reset_frame_readerP17alts_frame_readerPh (Address: 0x6b645781c4)
    - variable: _ZTV23grpc_server_credentials (Address: 0x6b648f3c68)
    - variable: _ZTIN9grpc_core6chttp221StreamFlowControlBaseE (Address: 0x6b648f8aa8)
    - function: _ZNK17grpc_event_engine12experimental11EventEngine15ResolvedAddress7addressEv (Address: 0x6b64527d00)
    - function: _Z22grpc_http_filters_initv (Address: 0x6b644beed0)
    - function: _Z30grpc_security_connector_to_argP23grpc_security_connector (Address: 0x6b644368ec)
    - variable: _ZTINSt6__ndk19money_getIwNS_19istreambuf_iteratorIwNS_11char_traitsIwEEEEEE (Address: 0x6b649150d0)
    - variable: _ZNSt6__ndk16locale7numericE (Address: 0x6b648044d8)
    - function: _Z22grpc_http_parser_parseP16grpc_http_parserRK10grpc_slicePm (Address: 0x6b64529918)
    - function: _Z24grpc_resource_user_quotaP18grpc_resource_user (Address: 0x6b6452e8b0)
    - variable: _ZTINSt6__ndk113messages_baseE (Address: 0x6b649151a8)
    - function: _ZN43grpc_httpcli_ssl_channel_security_connectorC2EPc (Address: 0x6b645592ac)
    - function: _ZN9grpc_core10Subchannel28ConnectivityStateWatcherList16AddWatcherLockedENS_13RefCountedPtrINS0_33ConnectivityStateWatcherInterfaceEEE (Address: 0x6b6440d16c)
    - function: __cxa_rethrow_primary_exception (Address: 0x6b64741758)
    - function: _Z14grpc_inet_ntopiPKvPcm (Address: 0x6b6442d568)
    - function: _ZN4absl12lts_2021032416strings_internal11BigUnsignedILi4EE9SetToZeroEv (Address: 0x6b645edb0c)
    - variable: _ZTVNSt6__ndk112future_errorE (Address: 0x6b64915718)
    - function: _ZN9grpc_core8channelz11ChannelNode17PopulateChildRefsEPNSt6__ndk13mapINS2_12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEENS_4JsonENS2_4lessIS9_EENS7_INS2_4pairIKS9_SA_EEEEEE (Address: 0x6b6441dd7c)
    - variable: _ZTSN9grpc_core19ConnectedSubchannelE (Address: 0x6b64777950)
    - function: _Z21alts_counter_get_sizeP12alts_counter (Address: 0x6b6457c9ec)
    - variable: __emutls_v._ZN9grpc_core7ExecCtx9exec_ctx_E (Address: 0x6b6491f070)
    - function: _Z43tsi_create_ssl_server_handshaker_factory_exPK25tsi_ssl_pem_key_cert_pairmPKc35tsi_client_certificate_request_typeS3_PS3_tPP33tsi_ssl_server_handshaker_factory (Address: 0x6b64463464)
    - function: _ZN9grpc_core8internal29SetXdsFallbackBootstrapConfigEPKc (Address: 0x6b64518f54)
    - variable: _ZNSt6__ndk114numeric_limitsIN4absl12lts_202103247uint128EE12max_digits10E (Address: 0x6b647e06a0)
    - function: _ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEED1Ev (Address: 0x6b646f2764)
    - function: _ZNSt6__ndk112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignERKS5_mm (Address: 0x6b647334b8)
    - variable: _ZTSSt15underflow_error (Address: 0x6b648074b0)
    - function: _Z36grpc_channel_stack_builder_move_prevP35grpc_channel_stack_builder_iterator (Address: 0x6b64419a20)
    - function: _ZNSt6__ndk16vectorIN9grpc_core12GrpcLbServerENS_9allocatorIS2_EEE7emplaceIJEEENS_11__wrap_iterIPS2_EENS7_IPKS2_EEDpOT_ (Address: 0x6b64474744)
    - function: _ZN9grpc_core9XdsClient12ChannelState12LrsCallState8Reporter23OnNextReportTimerLockedEP10grpc_error (Address: 0x6b64510f8c)
    - function: _ZNSt6__ndk112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6__initEPKcmm (Address: 0x6b64735e64)
    - function: _ZN22grpc_tls_error_detailsD2Ev (Address: 0x6b64567cf0)
    - function: _ZNSt6__ndk115__thread_structC2Ev (Address: 0x6b6473f640)
    - function: grpcsharp_batch_context_destroy (Address: 0x6b643e7004)
    - function: _Z25grpc_chttp2_goaway_appendjjRK10grpc_sliceP17grpc_slice_buffer (Address: 0x6b644d3288)
    - function: _ZNSt6__ndk113__vector_baseIPK19grpc_channel_filterNS_9allocatorIS3_EEED2Ev (Address: 0x6b644b63d8)
    - function: _ZNSt6__ndk115numpunct_bynameIwEC1ERKNS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEm (Address: 0x6b6472b34c)
    - function: _Z35grpc_channel_get_call_size_estimateP12grpc_channel (Address: 0x6b64446630)
    - function: _ZN9grpc_core19DefaultSslRootStore19ComputePemRootCertsEv (Address: 0x6b64439208)
    - function: _ZNKSt6__ndk18numpunctIcE11do_groupingEv (Address: 0x6b6472ac08)
    - variable: grpc_compression_trace (Address: 0x6b64923ce0)
    - function: upb_msg_clearfield (Address: 0x6b645c0eac)
    - variable: envoy_config_bootstrap_v3_Watchdogs_msginit (Address: 0x6b648faf20)
    - function: _ZN9grpc_core12BdpEstimatorC1EPKc (Address: 0x6b64550eb8)
    - function: _ZNKSt6__ndk18numpunctIwE12do_falsenameEv (Address: 0x6b6472ac88)
    - function: _Z37grpc_gcp_rpc_protocol_versions_decodeRK10grpc_sliceP29_grpc_gcp_RpcProtocolVersions (Address: 0x6b64569920)
    - function: _ZNSt6__ndk110__function6__funcIZN9grpc_core13ClientChannel26ConnectivityWatcherRemoverC1EPS3_PNS2_38AsyncConnectivityStateWatcherInterfaceEEUlvE_NS_9allocatorIS8_EEFvvEE7destroyEv (Address: 0x6b643f59cc)
    - variable: grpc_tcp_trace (Address: 0x6b64924c70)
    - function: _ZNK9grpc_core13ClientChannel16LoadBalancedCall8Metadata17IteratorHandleGetEl (Address: 0x6b643f6210)
    - variable: _ZNSt6__ndk17num_getIcNS_19istreambuf_iteratorIcNS_11char_traitsIcEEEEE2idE (Address: 0x6b64928bf8)
    - function: _ZN9grpc_core9XdsClient12ChannelState12AdsCallState13ResourceStateD2Ev (Address: 0x6b6451e730)
    - function: _ZN3tsi18SslSessionLRUCache9PushFrontEPNS0_4NodeE (Address: 0x6b64553074)
    - function: _ZNKSt6__ndk114__codecvt_utf8IDsE16do_always_noconvEv (Address: 0x6b64728d10)
    - function: _ZNSt6__ndk15dequeIPKN4absl12lts_2021032413time_internal4cctz9time_zone4ImplENS_9allocatorIS8_EEE19__add_back_capacityEv (Address: 0x6b645f8ff0)
    - function: _ZNK9grpc_core18XdsHttpFaultFilter28GenerateFilterConfigOverrideE11upb_strviewP9upb_arena (Address: 0x6b64558ba4)
    - variable: udpa_annotations_migrate_proto_upbdefinit (Address: 0x6b649214e8)
    - variable: _ZTIN9grpc_core8channelz10SocketNode8SecurityE (Address: 0x6b648f4050)
    - function: _ZN9grpc_core6Server14SetupTransportEP14grpc_transportP12grpc_pollsetPK17grpc_channel_argsRKNS_13RefCountedPtrINS_8channelz10SocketNodeEEEP18grpc_resource_user (Address: 0x6b6444e87c)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageIN9grpc_core13ServerAddressELm1ENSt6__ndk19allocatorIS4_EEE15EmplaceBackSlowIJPA128_cRjDnEEERS4_DpOT_ (Address: 0x6b644a99a8)
    - function: upb_arena_free (Address: 0x6b645c0454)
    - function: _ZNSt6__ndk112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6insertEmPKc (Address: 0x6b647336a8)
    - variable: _ZTI20grpc_ssl_credentials (Address: 0x6b648f3bf0)
    - function: _ZN4absl12lts_2021032419str_format_internal16ConvertFloatImplEfRKNS1_24FormatConversionSpecImplEPNS1_14FormatSinkImplE (Address: 0x6b645d5588)
    - function: _ZNKSt6__ndk117moneypunct_bynameIcLb0EE16do_positive_signEv (Address: 0x6b647117f0)
    - function: _Z23grpc_timer_consume_kickv (Address: 0x6b6442d618)
    - function: upb_fielddef_defaultstr (Address: 0x6b645b7644)
    - variable: envoy_config_listener_v3_Filter_msginit (Address: 0x6b648fc0a8)
    - function: upb_inttable_removeptr (Address: 0x6b645be0d8)
    - function: _Z17grpc_pollset_kickP12grpc_pollsetP19grpc_pollset_worker (Address: 0x6b6452cdd8)
    - function: _Z25grpc_httpcli_set_overridePFiPK20grpc_httpcli_requestlP12grpc_closureP18grpc_http_responseEPFiS1_PKcmlS3_S5_E (Address: 0x6b64529130)
    - function: _ZNKSt6__ndk17num_getIwNS_19istreambuf_iteratorIwNS_11char_traitsIwEEEEE17__do_get_unsignedImEES4_S4_S4_RNS_8ios_baseERjRT_ (Address: 0x6b64702b80)
    - function: _Z36grpc_channel_stack_builder_move_nextP35grpc_channel_stack_builder_iterator (Address: 0x6b644199f8)
    - function: _ZNSt6__ndk19__num_putIwE23__widen_and_group_floatEPcS2_S2_PwRS3_S4_RKNS_6localeE (Address: 0x6b64709318)
    - function: _tr_flush_bits (Address: 0x6b64584b64)
    - function: _ZNSt6__ndk19__num_putIcE21__widen_and_group_intEPcS2_S2_S2_RS2_S3_RKNS_6localeE (Address: 0x6b64705f44)
    - function: _ZN3re26Regexp6WalkerIiE4CopyEi (Address: 0x6b64591d94)
    - variable: _ZTSN9grpc_core18ChildPolicyHandlerE (Address: 0x6b64774d30)
